timestamp,quantity,price,fee,amount,side
2018-07-02 00:39:10,0.4896,7000000,0,3427200,1
2018-07-02 00:39:14,0.7419,6999000,0,5192558,1
2018-07-02 00:39:15,0.0195,6999000,0,136481,1
2018-07-02 00:39:15,0.0418,6999000,0,292558,1
2018-07-02 00:39:15,0.0021,6999000,0,14698,1
2018-07-02 00:39:15,0.0022,6999000,0,15398,1
2018-07-02 00:39:18,0.0398,6998000,0,278520,1
2018-07-02 00:44:31,0.0029,6990000,0,20271,1
2018-07-02 00:45:45,0.2689,6993000,0,1880418,1
2018-07-02 00:53:38,0.7314,6991000,0,-5113217,0
2018-07-02 00:53:38,0.3436,6991000,0,-2402108,0
2018-07-02 00:55:35,0.0688,6994000,0,-481187,0
2018-07-02 00:56:47,0.9848,6997000,0,-6890646,0
2018-07-02 00:58:42,1.0353,7025000,0,7272983,1
2018-07-02 01:00:40,0.0767,7015000,0,538051,1
2018-07-02 01:00:40,0.0014,7015000,0,9821,1
2018-07-02 01:00:53,0.08,7016000,0,561280,1
2018-07-02 01:02:49,0.021,7018000,0,-147378,0
2018-07-02 01:02:49,0.3973,7019000,0,-2788649,0
2018-07-02 01:02:53,0.08,7018000,0,-561440,0
2018-07-02 01:02:53,0.0151,7018000,0,-105972,0
2018-07-02 01:03:23,0.4183,7020000,0,-2936466,0
2018-07-02 01:03:51,0.0869,7018000,0,-609864,0
2018-07-02 01:04:13,0.0001,7018000,0,-702,0
2018-07-02 01:04:13,0.01,7018000,0,-70180,0
2018-07-02 01:05:02,0.2125,7027000,0,1493238,1
2018-07-02 01:11:37,2.2485,7019000,0,-15782222,0
2018-07-02 01:18:12,0.08,7017000,0,561360,1
2018-07-02 01:18:37,0.059,7017000,0,414003,1
2018-07-02 01:55:27,0.0005,7009000,0,3505,1
2018-07-02 01:56:59,0.046,7009000,0,322414,1
2018-07-02 02:18:48,0.01,7030000,0,70300,1
2018-07-02 02:19:13,3.8044,7029000,0,26741128,1
2018-07-02 02:39:17,0.0409,7037000,0,-287813,0
2018-07-02 02:42:22,0.021,7033000,0,-147693,0
2018-07-02 02:47:17,0.0327,7042000,0,-230273,0
2018-07-02 02:51:12,0.08,7043000,0,563440,1
2018-07-02 02:51:16,0.0146,7045000,0,102857,1
2018-07-02 04:26:13,1.3124,7013000,0,-9203861,0
2018-07-02 04:26:17,0.08,7013000,0,-561040,0
2018-07-02 04:27:33,2.6075,7012000,0,-18283790,0
2018-07-02 04:39:34,0.0293,7031000,0,206008,1
2018-07-02 04:42:49,0.0199,7032000,0,139937,1
2018-07-02 04:45:27,0.021,7031000,0,147651,1
2018-07-02 04:45:27,0.283,7031000,0,1989773,1
